(['respectively', 'banks', 'reviewed', 'economist'], 'reviewed')
(['images', 'context', 'referrals', 'ehrs'], 'context')
(['poor', 'increasing', 'living', 'basis'], 'basis')
(['efficiency', 'nation', 'shortages', 'publication'], 'publication')
(['duration', 'informatics', 'undertaken', 'timing'], 'informatics')
(['supportive', 'inadequate', 'extended', 'disease'], 'disease')
(['adviser', 'europe', 'inayatullah', 'assist'], 'assist')
(['requirementsde', 'iterative', 'phasesengage', 'infrastructure'], 'infrastructure')
(['hansen', 'vol', 'users', 'arbovirus'], 'users')
(['linking', 'lymphatic', 'eliminate', 'filariasis'], 'linking')
(['recap', 'not', 'dog', 'publishing'], 'not')
(['disabilities', 'decrease', 'draft', 'detected'], 'draft')
(['concrete', 'achievable', 'hiv', 'versus'], 'hiv')
(['saudi', 'iran', 'output', 'arabia'], 'output')
(['quality', 'three', 'affordable', 'improve'], 'three')
(['chain', 'political', 'equipment', 'supply'], 'political')
(['cce', 'aesi', 'vision', 'intermediate'], 'vision')
(['disseminated', 'costa', 'patient', 'nationwide'], 'patient')
(['economist', 'stage', 'asian', 'japan'], 'stage')
(['ivermectin', 'definition', 'mali', 'decreased'], 'definition')
(['stakeholders', 'foodborne', 'trematodiases', 'zoonoses'], 'stakeholders')
(['contributions', 'annual', 'propose', 'sharing'], 'sharing')
(['yemen', 'role', 'chikungunya', 'administering'], 'role')
(['keynote', 'integrated', 'manufacturers', 'room'], 'integrated')
(['disputes', 'relating', 'shall', 'more'], 'more')
(['partner', 'guide', 'consumers', 'transparency'], 'consumers')
(['ministerial', 'traditional', 'representatives', 'epi'], 'epi')
(['meetings', 'person', 'capabilities', 'advisory'], 'person')
(['coverage', 'subject', 'equitable', 'uhc'], 'subject')
(['immediate', 'renewed', 'broader', 'ment'], 'broader')
(['visits', 'package', 'sample', 'trained'], 'sample')
(['consists', 'facilities', 'selecting', 'adjust'], 'facilities')
(['represents', 'slow', 'detailed', 'substantially'], 'detailed')
(['handset', 'defining', 'mobile', 'phone'], 'defining')
(['continuing', 'adaptation', 'templates', 'questions'], 'questions')
(['mechanisms', 'ivermectin', 'treated', 'reduction'], 'mechanisms')
(['especially', 'still', 'wha', 'higher'], 'wha')
(['reflect', 'innovative', 'hiv', 'endorsement'], 'hiv')
(['key', 'split', 'azithromycin', 'dog'], 'key')
(['clinic', 'sustainable', 'counselling', 'whatsapp'], 'sustainable')
(['cold', 'protect', 'confidentiality', 'described'], 'described')
(['insight', 'input', 'regarding', 'worked'], 'worked')
(['alerts', 'finding', 'insecticide', 'activity'], 'activity')
(['curricula', 'rather', 'regime', 'enterprise'], 'rather')
(['forum', 'figure', 'shaping', 'positive'], 'figure')
(['attributed', 'reuse', 'implementing', 'figures'], 'implementing')
(['interoperable', 'area', 'competencies', 'mainstreaming'], 'area')
(['markets', 'would', 'partnerships', 'private'], 'would')
(['question', 'budget', 'refining', 'affairs'], 'affairs')
(['informal', 'advisers', 'frequent', 'examples'], 'examples')
(['sexual', 'continuity', 'phase', 'pharmacy'], 'phase')
(['media', 'typically', 'too', 'understandable'], 'media')
(['glossary', 'during', 'kyrgyzstan', 'para'], 'during')
(['earlier', 'dominican', 'attended', 'will'], 'will')
(['parenthood', 'reasonable', 'verify', 'leadership'], 'leadership')
(['validating', 'effectiveness', 'imply', 'align'], 'imply')
